"LSOA21CD","RGN23NM","BSC_Blue_withgaps_withLondon","BSC_Blue_withgaps_noLondon","BSC_Blue_nogaps_withLondon","BSC_Blue_nogaps_noLondon","BSC_BlueProximate_withgaps_withLondon","BSC_BlueProximate_withgaps_noLondon","BSC_BlueProximate_nogaps_withLondon","BSC_BlueProximate_nogaps_noLondon","BGC_Blue_withgaps_withLondon","BGC_Blue_withgaps_noLondon","BGC_Blue_nogaps_withLondon","BGC_Blue_nogaps_noLondon","BGC_BlueProximate_withgaps_withLondon","BGC_BlueProximate_withgaps_noLondon","BGC_BlueProximate_nogaps_withLondon","BGC_BlueProximate_nogaps_noLondon"
"E01000078","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000079","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000080","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000081","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000082","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000083","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000084","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000085","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000086","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000087","London",0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
"E01000088","London",0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
"E01000089","London",0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
"E01000090","London",1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
"E01000091","London",0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
"E01000093","London",0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
"E01000094","London",0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
"E01000095","London",1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
"E01000096","London",0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
"E01000097","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000098","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000099","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000100","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000101","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000102","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000103","London",0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
"E01000104","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000105","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000106","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000107","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000108","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000110","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000111","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000112","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000113","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000114","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000115","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000116","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000117","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000118","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000119","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000120","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000121","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000122","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000123","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000124","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000126","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000127","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000128","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000129","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000130","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000131","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000132","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000133","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000134","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000135","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000136","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000137","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000138","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000139","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000140","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000141","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000142","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000143","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000144","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
